ith_sess,session_id,navigate_click:0-4,cutscene_click:0-4,person_click:0-4,object_click:0-4,notification_click:0-4,observation_click:0-4,object_hover:0-4,map_hover:0-4,map_click:0-4,checkpoint:0-4,person_click:5-12,navigate_click:5-12,object_click:5-12,object_hover:5-12,cutscene_click:5-12,map_hover:5-12,notification_click:5-12,map_click:5-12,observation_click:5-12,checkpoint:5-12,navigate_click:13-22,person_click:13-22,cutscene_click:13-22,object_click:13-22,map_hover:13-22,object_hover:13-22,notification_click:13-22,map_click:13-22,observation_click:13-22,checkpoint:13-22,elapsed_time:0-4,event_index:0-4,elapsed_time:5-12,event_index:5-12,elapsed_time:13-22,event_index:13-22,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,num_correct,notebook_click:0-4,notebook_click:5-12,notebook_click:13-22
0,20090312431273200,81,28,22,11,8,4.0,4.0,4.0,2,1.0,104,103,28,21.0,12,9.0,9,8,1,1,170,123,60,20,14.0,13.0,10,6,3,1,194860.0,164.0,499235,470,1272679,931,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,16,,,
1,20090312433251036,49,36,18,15,5,2.0,5.0,3.0,3,1.0,97,115,74,32.0,11,30.0,9,16,3,1,637,145,65,83,186.0,66.0,14,45,5,1,233752.0,138.0,817609,544,3815334,1875,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,10,2.0,7.0,50.0
2,20090314121766812,64,26,19,19,8,6.0,9.0,1.0,2,1.0,98,131,44,28.0,14,24.0,9,9,2,1,190,104,58,21,35.0,22.0,17,7,6,1,393360.0,164.0,1017051,557,2133782,1082,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,12,10.0,25.0,27.0
3,20090314363702160,66,32,18,11,6,,8.0,2.0,2,1.0,114,99,23,18.0,11,12.0,9,7,2,1,299,125,76,34,36.0,23.0,8,12,4,1,217574.0,145.0,552723,451,4208427,1116,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,15,,,6.0
4,20090314441803444,37,29,18,6,5,,5.0,4.0,2,1.0,93,76,27,24.0,11,10.0,9,6,1,1,158,102,57,41,12.0,35.0,8,6,4,1,176953.0,106.0,550531,371,1275750,832,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,14,,,
5,20090315081004164,78,36,18,35,9,2.0,6.0,1.0,2,1.0,103,184,31,32.0,13,50.0,9,12,4,1,514,110,65,53,64.0,46.0,16,22,7,1,341352.0,187.0,1409898,640,2974641,1584,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,14,,2.0,
6,20090315085850788,73,31,18,9,9,2.0,7.0,2.0,2,1.0,102,99,24,23.0,11,19.0,9,7,4,1,194,97,62,21,14.0,25.0,13,6,3,1,425423.0,166.0,1135963,494,2554792,996,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,13,13.0,22.0,29.0
7,20090315101457836,77,31,18,10,6,1.0,7.0,4.0,2,1.0,107,133,31,24.0,11,33.0,9,7,4,1,237,114,63,44,34.0,27.0,12,10,4,1,269374.0,163.0,743638,547,1569636,1152,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,15,7.0,19.0,11.0
8,20090315170769824,53,27,18,43,5,1.0,3.0,1.0,2,1.0,116,117,26,17.0,13,3.0,9,6,4,1,201,129,79,17,18.0,11.0,8,10,5,1,272762.0,157.0,775821,508,1578026,1043,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,15,4.0,24.0,14.0
9,20090317080721164,65,27,19,20,8,3.0,3.0,2.0,2,1.0,141,215,199,66.0,11,21.0,9,16,5,1,192,135,76,31,21.0,17.0,14,8,4,1,328805.0,151.0,1273208,842,2491640,1393,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,2.0,2.0,17.0
10,20090317111400710,124,29,22,30,11,7.0,9.0,3.0,2,1.0,108,203,74,36.0,16,46.0,12,18,5,1,232,116,57,18,48.0,18.0,8,8,5,1,825037.0,237.0,3472382,779,5462736,1329,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,12,,16.0,5.0
11,20090317414400068,46,30,18,9,6,,6.0,2.0,2,1.0,123,143,24,20.0,11,9.0,12,9,4,1,167,114,53,17,13.0,16.0,10,9,5,1,327643.0,131.0,1053401,502,2002220,946,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,13,12.0,9.0,7.0
12,20090318322359292,69,30,21,23,5,2.0,7.0,,2,1.0,99,211,41,16.0,11,5.0,9,11,12,1,258,106,60,23,8.0,12.0,11,6,5,1,391693.0,165.0,4797963,606,5660440,1152,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,15,6.0,17.0,16.0
13,20090318541618010,69,33,19,15,6,6.0,4.0,6.0,3,1.0,114,131,32,31.0,13,8.0,9,11,1,1,286,146,75,14,42.0,17.0,6,24,4,1,316960.0,168.0,1017579,557,2343460,1257,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,12,8.0,24.0,40.0
14,20090319012741024,105,32,22,29,9,5.0,6.0,,2,1.0,142,201,88,32.0,13,27.0,9,12,3,1,229,134,81,25,16.0,22.0,8,6,4,1,373434.0,214.0,1029622,754,2158678,1323,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,6,4.0,2.0,4.0
15,20090320140443148,132,36,18,30,5,4.0,5.0,5.0,4,1.0,133,493,59,27.0,12,25.0,9,21,3,1,798,134,81,29,82.0,17.0,6,39,6,1,496142.0,239.0,1414494,1026,38081617,2263,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,,,
16,20100007011166932,48,27,21,10,8,,6.0,5.0,3,1.0,141,146,25,19.0,11,34.0,9,13,3,1,224,131,71,45,39.0,23.0,16,11,4,1,340625.0,128.0,911170,533,1893408,1133,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,15,,,
17,20100008103581056,45,31,20,10,9,,2.0,,2,1.0,118,106,40,17.0,11,11.0,9,8,2,1,285,134,76,35,21.0,16.0,8,9,4,1,549450.0,130.0,2029593,477,3722093,1127,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,15,11.0,13.0,17.0
18,20100008262217530,46,27,18,8,8,,5.0,3.0,2,1.0,118,66,23,18.0,11,10.0,9,6,1,1,156,117,76,22,20.0,16.0,8,6,6,1,272752.0,117.0,757472,389,1882926,860,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,17,,,4.0
19,20100009314461780,55,30,18,11,9,2.0,5.0,3.0,4,1.0,98,71,19,19.0,14,8.0,9,6,1,1,185,102,60,26,13.0,24.0,8,7,3,1,273757.0,141.0,19850686,411,22056639,910,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,14,4.0,16.0,26.0
20,20100009560590796,87,31,18,35,6,,8.0,6.0,2,1.0,98,164,39,37.0,11,23.0,9,12,1,1,285,105,60,24,23.0,18.0,8,9,4,1,313225.0,203.0,859192,622,1808100,1195,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,15,10.0,17.0,2.0
21,20100010554738616,65,28,21,15,9,3.0,3.0,,2,1.0,102,129,28,14.0,12,11.0,9,9,1,1,225,103,61,17,19.0,16.0,8,6,4,1,371043.0,153.0,1052059,489,2113002,996,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,11,7.0,12.0,11.0
